arm,cell,n_pred_rows,n_ic_dates,rank_ic_mean,rank_ic_std,icir,auc,ls_sharpe_ann_proxy,transfer_mode,retrain,fine_tune,us_normalization_refit_on_crypto,representation_geometry_matched,representation_note,return_definition,cost_bps_applied
raw,i5_r5,56087,291,-0.0077635820775532,0.09475339269459135,-0.08193460789923099,0.4824461461774217,0.14479747682288524,direct_frozen_us_weights,False,False,False,True,matched_raw_on_raw,close_to_close_future_return_from_metadata,0
expand,i5_r5,56087,291,-0.00708040877494307,0.0886885666490507,-0.0798345157945887,0.48616763229590654,0.3263390910388825,direct_frozen_us_weights,False,False,False,False,cross_representation_us_expand_or_clip_weights_on_crypto_raw_images,close_to_close_future_return_from_metadata,0
clip,i5_r5,56087,291,-0.010263960676537098,0.09038743673631154,-0.11355516924857915,0.48636337628353865,0.06931227715448836,direct_frozen_us_weights,False,False,False,False,cross_representation_us_expand_or_clip_weights_on_crypto_raw_images,close_to_close_future_return_from_metadata,0
raw,i20_r20,13852,72,-0.05096138606096056,0.1031923838738051,-0.49384832628037456,0.4777280400555817,-1.682913390887474,direct_frozen_us_weights,False,False,False,True,matched_raw_on_raw,close_to_close_future_return_from_metadata,0
expand,i20_r20,13852,72,-0.04107151479172063,0.10711923913256154,-0.3834186568567208,0.48246733808763687,-1.253512403294734,direct_frozen_us_weights,False,False,False,False,cross_representation_us_expand_or_clip_weights_on_crypto_raw_images,close_to_close_future_return_from_metadata,0
clip,i20_r20,13852,72,-0.0514098977240631,0.10408770125580222,-0.49390943506111223,0.4732938399121979,-1.446681378917275,direct_frozen_us_weights,False,False,False,False,cross_representation_us_expand_or_clip_weights_on_crypto_raw_images,close_to_close_future_return_from_metadata,0
raw,i60_r60,4424,23,-0.019841554501808318,0.07871182723071465,-0.25207843852551065,0.46434988806409805,-0.05120121475830765,direct_frozen_us_weights,False,False,False,True,matched_raw_on_raw,close_to_close_future_return_from_metadata,0
expand,i60_r60,4424,23,-0.021286377043321827,0.07734168384295852,-0.2752251565474524,0.46003975749675974,0.06319617571175627,direct_frozen_us_weights,False,False,False,False,cross_representation_us_expand_or_clip_weights_on_crypto_raw_images,close_to_close_future_return_from_metadata,0
clip,i60_r60,4424,23,-0.017909362949019295,0.08878577796232467,-0.2017143213704671,0.45796040543625544,0.18822029029906237,direct_frozen_us_weights,False,False,False,False,cross_representation_us_expand_or_clip_weights_on_crypto_raw_images,close_to_close_future_return_from_metadata,0
